"year","month","site_id","market","registrations","ftds","active_players","deposit_count","unique_depositors","sports_active_players","casino_active_players","live_casino_active_players","turnover_eur","winnings_eur","ggr_eur","withdrawal_adjustments_eur","deposit_adjustments_eur","bonus_withdrawn_eur","bonus_issued_eur","cashback_eur","goodwill_amount_eur","ngr_eur","deposits_eur","ftd_amount_eur","reload_amount_eur","withdrawals_eur","net_deposits_eur","sports_turnover_eur","sports_winnings_eur","sports_ggr_eur","sports_bonus_issued_eur","sports_bonus_withdrawn_eur","sports_ngr_eur","casino_turnover_eur","casino_winnings_eur","casino_ggr_eur","casino_bonus_issued_eur","casino_bonus_withdrawn_eur","casino_ngr_eur","live_casino_turnover_eur","live_casino_winnings_eur","live_casino_ggr_eur","live_casino_ngr_eur","vip_bonus_eur","total_bonus_eur"
"2,023","3","1","MX","  2 ","  0 ","  0 ","  0 ","  0 ","0","  0 ","0","  37 ","  27 ","  11 ","0","0","0","0","0","0","  11 ","  11 ","  11 ","0","0","  11 ","0","0","0","0","0","0","  37 ","  27 ","  11 ","0","0","  11 ","0","0","0","0","0","0"
"2,023","3","1","NG","  3 ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2,023","3","1","NL","0","0","  0 ","0","0","0","  0 ","0","  0 ","0","  0 ","0","0","0","0","0","0","  0 ","0","0","0","0","0","0","0","0","0","0","0","  0 ","0","  0 ","0","0","  0 ","0","0","0","0","0","0"
"2,023","3","1","NO","  213 ","  110 ","  444 ","  4,515 ","  355 ","  259 ","  260 ","  74 ","  3,440,624 ","  3,260,655 ","  183,891 ","  255 ","  9,102 ","  18,015 ","  20,099 ","  9,889 ","  101 ","  147,349 ","  337,654 ","  7,503 ","  330,151 ","  189,484 ","  148,170 ","  809,166 ","  723,542 ","  85,624 ","  12,739 ","  13,937 ","  71,687 ","  1,983,010 ","  1,903,612 ","  79,398 ","  7,236 ","  4,078 ","  65,329 ","  638,485 ","  619,616 ","  18,870 ","  18,870 ","  8,537 ","  36,542 "
"2,023","3","1","NZ","  14 ","  6 ","  12 ","  92 ","  11 ","  1 ","  10 ","  2 ","  29,013 ","  27,302 ","  1,711 ","0","  148 ","0","  212 ","0","  10 ","  1,562 ","  4,121 ","  229 ","  3,892 ","  2,421 ","  1,700 ","  1,471 ","  1,167 ","  304 ","0","0","  304 ","  15,581 ","  16,175 ","- 593 ","  212 ","0","- 603 ","  11,960 ","  9,960 ","  2,000 ","  2,000 ","  138 ","  148 "
"2,023","3","1","PE","  62 ","  11 ","  30 ","  106 ","  22 ","  24 ","  10 ","  2 ","  82,781 ","  77,873 ","  4,915 ","0","  179 ","  552 ","  232 ","  86 ","  92 ","  4,185 ","  6,395 ","  428 ","  5,967 ","  2,220 ","  4,174 ","  3,248 ","  3,518 ","- 269 ","  178 ","  547 ","- 816 ","  1,647 ","  1,430 ","  217 ","  30 ","  5 ","  34 ","  77,628 ","  72,661 ","  4,967 ","  4,967 ","0","  730 "
"2,023","3","1","RU","  3 ","  0 ","  0 ","  0 ","  0 ","0","0","  0 ","  11 ","0","  11 ","0","0","0","0","0","0","  11 ","  11 ","  11 ","0","0","  11 ","0","0","0","0","0","0","0","0","0","0","0","0","  11 ","0","  11 ","  11 ","0","0"
"2,023","3","1","SE","  178 ","  140 ","  957 ","  16,685 ","  802 ","0","  937 ","  138 ","  8,499,800 ","  8,122,619 ","  377,181 ","  53 ","  12,275 ","  16,915 ","  21,597 ","  42,841 ","  1,144 ","  309,497 ","  887,427 ","  9,111 ","  878,316 ","  587,363 ","  300,064 ","0","0","0","0","0","0","  7,337,186 ","  6,982,682 ","  354,504 ","  20,970 ","  16,772 ","  293,746 ","  1,162,614 ","  1,139,937 ","  22,677 ","  22,677 ","  6,783 ","  67,684 "
"2,023","3","1","TH","  2 ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2,023","3","1","TN","  1 ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2,023","3","1","UA","  2 ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2,023","3","1","VN","  15 ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2,023","4","1","AM","  1 ","0","  0 ","  1 ","  0 ","0","  0 ","0","  109 ","  88 ","  21 ","0","0","0","0","0","0","  21 ","  21 ","0","  21 ","0","  21 ","0","0","0","0","0","0","  109 ","  88 ","  21 ","0","0","  21 ","0","0","0","0","0","0"
"2,023","4","1","AR","  2 ","0","  0 ","  0 ","  0 ","  0 ","0","0","  200 ","  500 ","- 300 ","0","0","0","0","0","0","- 300 ","  200 ","0","  200 ","  499 ","- 300 ","  200 ","  500 ","- 300 ","0","0","- 300 ","0","0","0","0","0","0","0","0","0","0","0","0"
"2,023","4","1","AT","0","0","  2 ","  34 ","  2 ","  2 ","0","0","  7,650 ","  9,108 ","- 957 ","0","0","0","  245 ","  91 ","0","- 1,048 ","  965 ","0","  965 ","  237 ","  728 ","  7,473 ","  8,430 ","- 957 ","  245 ","0","- 957 ","0","0","0","0","0","- 91 ","0","0","0","0","0","  91 "
"2,023","4","1","BG","  4 ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2,023","4","1","BH","  0 ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2,023","4","1","BR","  3,384 ","  660 ","  866 ","  2,551 ","  806 ","  267 ","  624 ","  145 ","  1,131,303 ","  1,090,574 ","  41,882 ","  303 ","  2,823 ","  6,301 ","  8,356 ","  4,162 ","  78 ","  28,803 ","  118,395 ","  11,387 ","  107,008 ","  77,779 ","  40,615 ","  74,644 ","  73,380 ","  1,264 ","  3,486 ","  4,180 ","- 2,916 ","  904,974 ","  856,781 ","  48,193 ","  4,844 ","  2,122 ","  41,831 ","  150,558 ","  158,134 ","- 7,575 ","- 7,575 ","  2,537 ","  13,079 "
"2,023","4","1","CA","  86 ","  35 ","  146 ","  780 ","  111 ","  72 ","  103 ","  16 ","  958,033 ","  936,175 ","  22,760 ","0","  703 ","  11,604 ","  11,189 ","  1,386 ","  55 ","  9,413 ","  70,322 ","  5,558 ","  64,764 ","  56,227 ","  14,095 ","  456,114 ","  451,002 ","  5,112 ","  534 ","  1,361 ","  3,752 ","  263,545 ","  248,647 ","  14,898 ","  10,526 ","  10,236 ","  3,222 ","  233,315 ","  230,565 ","  2,750 ","  2,750 ","  303 ","  13,347 "
"2,023","4","1","CH","0","0","  0 ","  22 ","  0 ","  0 ","0","0","  3,272 ","  1,760 ","  1,685 ","0","  88 ","  105 ","  38 ","0","0","  1,492 ","  1,493 ","0","  1,493 ","0","  1,493 ","  3,272 ","  1,587 ","  1,685 ","  38 ","  105 ","  1,580 ","0","0","0","0","0","0","0","0","0","0","  88 ","  193 "
"2,023","4","1","CL","  245 ","  69 ","  125 ","  337 ","  102 ","  81 ","  56 ","  12 ","  96,079 ","  88,302 ","  8,604 ","  175 ","  360 ","  1,176 ","  1,223 ","  448 ","  41 ","  6,931 ","  22,610 ","  1,562 ","  21,048 ","  16,251 ","  6,359 ","  45,160 ","  41,237 ","  3,923 ","  667 ","  792 ","  3,131 ","  36,831 ","  33,463 ","  3,368 ","  535 ","  384 ","  2,495 ","  13,940 ","  12,627 ","  1,313 ","  1,313 ","  9 ","  1,674 "
"2,023","4","1","FI","  377 ","  292 ","  1,342 ","  10,494 ","  1,092 ","  495 ","  1,100 ","  280 ","  4,659,964 ","  4,505,377 ","  159,278 ","  1,162 ","  11,115 ","  48,490 ","  40,020 ","  22,649 ","  716 ","  82,475 ","  695,839 ","  18,920 ","  676,920 ","  558,377 ","  137,462 ","  1,254,256 ","  1,244,301 ","  9,956 ","  7,331 ","  12,525 ","- 2,569 ","  2,961,690 ","  2,830,291 ","  131,398 ","  27,875 ","  31,978 ","  76,055 ","  414,068 ","  396,143 ","  17,924 ","  17,924 ","  4,948 ","  76,803 "
"2,023","4","1","HU","  1 ","  0 ","  1 ","  3 ","  1 ","  0 ","  0 ","0","  617 ","  780 ","- 100 ","0","0","0","0","0","0","- 100 ","  209 ","  4 ","  205 ","  308 ","- 99 ","  511 ","  659 ","- 148 ","0","0","- 148 ","  74 ","  26 ","  48 ","0","0","  48 ","0","0","0","0","0","0"
"2,023","4","1","IE","0","0","  0 ","  2 ","  0 ","  0 ","  0 ","0","  8,849 ","  8,329 ","  519 ","0","  1,173 ","0","  35 ","0","0","  502 ","  1,167 ","0","  1,167 ","  1,820 ","- 653 ","  1,525 ","  1,249 ","  276 ","  35 ","0","  276 ","  7,324 ","  7,081 ","  243 ","0","0","  243 ","0","0","0","0","  18 ","  18 "
"2,023","4","1","IN","  21 ","0","  0 ","  4 ","  0 ","0","  0 ","  0 ","  154 ","  118 ","  36 ","0","0","0","0","0","0","  36 ","  90 ","0","  90 ","  54 ","  36 ","0","0","0","0","0","0","  0 ","0","  0 ","0","0","  0 ","  154 ","  118 ","  36 ","  36 ","0","0"
"2,023","4","1","MK","0","0","  0 ","0","0","0","  0 ","0","  0 ","0","  0 ","0","0","0","0","0","0","  0 ","0","0","0","0","0","0","0","0","0","0","0","  0 ","0","  0 ","0","0","  0 ","0","0","0","0","0","0"
"2,023","4","1","MO","0","0","  0 ","0","0","  0 ","0","0","  10 ","0","  10 ","0","0","0","0","0","0","  10 ","0","0","0","0","0","  10 ","0","  10 ","0","0","  10 ","0","0","0","0","0","0","0","0","0","0","0","0"
"2,023","4","1","MT","  4 ","  1 ","  5 ","  31 ","  4 ","  2 ","  3 ","  2 ","  41,330 ","  46,055 ","- 4,724 ","0","  9 ","0","  39 ","  134 ","  9 ","- 4,867 ","  2,312 ","  39 ","  2,274 ","  7,186 ","- 4,873 ","  1,838 ","  1,829 ","  9 ","0","0","  9 ","  18,567 ","  21,481 ","- 2,914 ","  39 ","0","- 3,057 ","  20,915 ","  22,734 ","- 1,819 ","- 1,819 ","0","  143 "
"2,023","4","1","NG","  3 ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2,023","4","1","NL","0","0","  1 ","  3 ","  1 ","0","  1 ","0","  132 ","  95 ","  37 ","0","0","0","0","0","0","  37 ","  37 ","0","  37 ","0","  37 ","0","0","0","0","0","0","  132 ","  95 ","  37 ","0","0","  37 ","0","0","0","0","0","0"
"2,023","4","1","NO","  191 ","  110 ","  509 ","  4,344 ","  378 ","  270 ","  328 ","  114 ","  3,070,425 ","  2,903,210 ","  170,731 ","  520 ","  6,983 ","  20,441 ","  17,699 ","  11,200 ","  264 ","  132,739 ","  362,923 ","  7,792 ","  355,131 ","  214,903 ","  148,021 ","  701,138 ","  662,916 ","  38,222 ","  7,183 ","  9,232 ","  28,990 ","  1,794,658 ","  1,685,668 ","  108,990 ","  8,459 ","  8,801 ","  88,725 ","  559,734 ","  536,215 ","  23,519 ","  23,519 ","  6,086 ","  37,992 "
"2,023","4","1","NZ","  30 ","  15 ","  22 ","  149 ","  21 ","  1 ","  20 ","  3 ","  59,339 ","  58,102 ","  1,237 ","0","  59 ","0","  284 ","0","  59 ","  1,178 ","  7,484 ","  353 ","  7,131 ","  6,045 ","  1,438 ","  538 ","  423 ","  115 ","  10 ","0","  115 ","  48,165 ","  46,806 ","  1,359 ","  274 ","0","  1,300 ","  10,626 ","  10,863 ","- 237 ","- 237 ","0","  59 "
"2,023","4","1","PE","  34 ","  12 ","  35 ","  149 ","  26 ","  28 ","  9 ","  4 ","  249,146 ","  240,654 ","  8,563 ","0","  7 ","  965 ","  343 ","  51 ","0","  7,547 ","  11,300 ","  511 ","  10,789 ","  2,844 ","  8,456 ","  4,822 ","  5,804 ","- 981 ","  233 ","  310 ","- 1,291 ","  96,138 ","  93,387 ","  2,751 ","  110 ","  655 ","  2,045 ","  148,001 ","  141,208 ","  6,793 ","  6,793 ","0","  1,016 "
"2,023","4","1","PG","  0 ","  0 ","  0 ","  1 ","  0 ","  0 ","  0 ","  0 ","  426 ","  384 ","  42 ","0","0","0","0","0","0","  42 ","  42 ","  4 ","  39 ","0","  42 ","  255 ","  273 ","- 19 ","0","0","- 19 ","  144 ","  84 ","  60 ","0","0","  60 ","  2 ","  1 ","  1 ","  1 ","0","0"
"2,023","4","1","RU","  1 ","  0 ","  0 ","  2 ","  0 ","  0 ","0","0","  375 ","  401 ","- 26 ","0","0","0","0","0","0","- 26 ","  319 ","  4 ","  315 ","  345 ","- 26 ","  366 ","  392 ","- 26 ","0","0","- 26 ","0","0","0","0","0","0","0","0","0","0","0","0"
"2,023","4","1","SE","  182 ","  142 ","  1,038 ","  16,797 ","  810 ","0","  1,011 ","  288 ","  9,192,332 ","  8,802,520 ","  389,812 ","  46 ","  7,450 ","  18,550 ","  27,104 ","  43,914 ","  779 ","  320,761 ","  978,587 ","  11,513 ","  967,073 ","  669,259 ","  309,327 ","0","0","0","0","0","0","  7,734,498 ","  7,387,089 ","  347,409 ","  20,962 ","  15,703 ","  287,014 ","  1,457,834 ","  1,415,431 ","  42,402 ","  42,402 ","  5,809 ","  69,051 "
"2,023","4","1","SZ","  7 ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2,023","4","1","TH","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2,023","4","1","UA","  1 ","0","  0 ","  2 ","  0 ","  0 ","  0 ","0","  246 ","  322 ","- 76 ","0","0","0","0","0","0","- 76 ","  42 ","0","  42 ","  117 ","- 76 ","  9 ","0","  9 ","0","0","  9 ","  237 ","  322 ","- 84 ","0","0","- 84 ","0","0","0","0","0","0"
"2,023","4","1","UY","  1 ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2,023","4","1","VE","  1 ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2,023","4","1","VN","  15 ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2,023","4","1","ZA","  8 ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
